Epoch 1 - loss: 0.07518791407346725, accuracy: 0.9764876961708069, val_loss: 0.02302183210849762, val_accuracy: 0.9951527118682861
Epoch 2 - loss: 0.006009466014802456, accuracy: 0.998303234577179, val_loss: 0.026830343529582024, val_accuracy: 0.9946679472923279
Epoch 3 - loss: 0.0025754026137292385, accuracy: 0.9992728233337402, val_loss: 0.029504867270588875, val_accuracy: 0.9951527118682861
Epoch 4 - loss: 0.0026061111129820347, accuracy: 0.9993939995765686, val_loss: 0.030633317306637764, val_accuracy: 0.9951527118682861
Epoch 5 - loss: 0.0014099286636337638, accuracy: 0.9996364116668701, val_loss: 0.03315408527851105, val_accuracy: 0.9956374168395996
Epoch 1 - loss: 0.6391879916191101, accuracy: 0.7296085357666016, val_loss: 0.6004742980003357, val_accuracy: 0.782355785369873
Epoch 2 - loss: 0.5256747007369995, accuracy: 0.7739667892456055, val_loss: 0.5138384103775024, val_accuracy: 0.782355785369873
Epoch 3 - loss: 0.45900195837020874, accuracy: 0.7739667892456055, val_loss: 0.44536370038986206, val_accuracy: 0.782355785369873
Epoch 4 - loss: 0.3570343255996704, accuracy: 0.8166282773017883, val_loss: 0.3412090837955475, val_accuracy: 0.9738245010375977
Epoch 5 - loss: 0.23333540558815002, accuracy: 0.9612168073654175, val_loss: 0.23448535799980164, val_accuracy: 0.9941832423210144
Epoch 1 - loss: 0.06559348106384277, accuracy: 0.9763665199279785, val_loss: 0.029307298362255096, val_accuracy: 0.9936984777450562
Epoch 2 - loss: 0.0062933689914643764, accuracy: 0.998303234577179, val_loss: 0.028270278126001358, val_accuracy: 0.9936984777450562
Epoch 3 - loss: 0.004541054368019104, accuracy: 0.9984244108200073, val_loss: 0.04094666242599487, val_accuracy: 0.9951527118682861
Epoch 4 - loss: 0.004404796287417412, accuracy: 0.9992728233337402, val_loss: 0.0774596780538559, val_accuracy: 0.9907901287078857
Epoch 5 - loss: 0.009242643602192402, accuracy: 0.9985456466674805, val_loss: 0.09396351873874664, val_accuracy: 0.9883664846420288
Epoch 1 - loss: 0.057867277413606644, accuracy: 0.98157799243927, val_loss: 0.02990727871656418, val_accuracy: 0.9951527118682861
Epoch 2 - loss: 0.008090845309197903, accuracy: 0.9979396462440491, val_loss: 0.029199251905083656, val_accuracy: 0.9956374168395996
Epoch 3 - loss: 0.0029980493709445, accuracy: 0.9992728233337402, val_loss: 0.02988358959555626, val_accuracy: 0.9956374168395996
Epoch 4 - loss: 0.00236641988158226, accuracy: 0.9993939995765686, val_loss: 0.039596591144800186, val_accuracy: 0.9961221814155579
Epoch 5 - loss: 0.0012185514206066728, accuracy: 0.9996364116668701, val_loss: 0.04746124520897865, val_accuracy: 0.9936984777450562
Epoch 1 - loss: 0.27873387932777405, accuracy: 0.8901951313018799, val_loss: 0.08421602100133896, val_accuracy: 0.9941832423210144
Epoch 2 - loss: 0.01951250061392784, accuracy: 0.9960004687309265, val_loss: 0.048474498093128204, val_accuracy: 0.9956374168395996
Epoch 3 - loss: 0.009338398464024067, accuracy: 0.9976972341537476, val_loss: 0.04182141646742821, val_accuracy: 0.9956374168395996
Epoch 4 - loss: 0.005886544473469257, accuracy: 0.9993939995765686, val_loss: 0.029631080105900764, val_accuracy: 0.9951527118682861
Epoch 5 - loss: 0.004707139451056719, accuracy: 0.9993939995765686, val_loss: 0.02624175325036049, val_accuracy: 0.9951527118682861
Best CNN Model Accuracy: 0.9961221522055259
Best CNN Hyperparameters: {'conv_filters': 128, 'conv_kernel_size': 6, 'dropout_rate': 0.2, 'learning_rate': 0.01}
