Epoch 1 - loss: 0.24619881808757782, accuracy: 0.9032844305038452, val_loss: 0.047769222408533096, val_accuracy: 0.9849733114242554
Epoch 2 - loss: 0.01606232486665249, accuracy: 0.9966064691543579, val_loss: 0.03271499648690224, val_accuracy: 0.9946679472923279
Epoch 3 - loss: 0.007100936956703663, accuracy: 0.9989092350006104, val_loss: 0.03435089439153671, val_accuracy: 0.9941832423210144
Epoch 4 - loss: 0.004467990715056658, accuracy: 0.9993939995765686, val_loss: 0.031167060136795044, val_accuracy: 0.9956374168395996
Epoch 5 - loss: 0.0037277061492204666, accuracy: 0.9995152354240417, val_loss: 0.03019184246659279, val_accuracy: 0.9951527118682861
Epoch 1 - loss: 0.08435274660587311, accuracy: 0.9689734578132629, val_loss: 0.037029948085546494, val_accuracy: 0.9941832423210144
Epoch 2 - loss: 0.021778715774416924, accuracy: 0.9966064691543579, val_loss: 0.043095383793115616, val_accuracy: 0.9912748336791992
Epoch 3 - loss: 0.10499370098114014, accuracy: 0.9768512845039368, val_loss: 0.036332760006189346, val_accuracy: 0.9946679472923279
Epoch 4 - loss: 0.011653965339064598, accuracy: 0.9980608224868774, val_loss: 0.03273491933941841, val_accuracy: 0.9946679472923279
Epoch 5 - loss: 0.007670002058148384, accuracy: 0.9986668229103088, val_loss: 0.023767126724123955, val_accuracy: 0.9956374168395996
Epoch 1 - loss: 0.2523129880428314, accuracy: 0.9017089009284973, val_loss: 0.038636546581983566, val_accuracy: 0.9912748336791992
Epoch 2 - loss: 0.014452164992690086, accuracy: 0.9970912337303162, val_loss: 0.02607058733701706, val_accuracy: 0.9946679472923279
Epoch 3 - loss: 0.0072708954103291035, accuracy: 0.9989092350006104, val_loss: 0.029669923707842827, val_accuracy: 0.9946679472923279
Epoch 4 - loss: 0.005463138222694397, accuracy: 0.9993939995765686, val_loss: 0.027570970356464386, val_accuracy: 0.9956374168395996
Epoch 5 - loss: 0.0035125152207911015, accuracy: 0.9993939995765686, val_loss: 0.030703138560056686, val_accuracy: 0.9951527118682861
Epoch 1 - loss: 0.09295250475406647, accuracy: 0.9678826928138733, val_loss: 0.02964550256729126, val_accuracy: 0.9951527118682861
Epoch 2 - loss: 0.01800595037639141, accuracy: 0.9975760579109192, val_loss: 0.03388997167348862, val_accuracy: 0.9936984777450562
Epoch 3 - loss: 0.013225169852375984, accuracy: 0.9975760579109192, val_loss: 0.03861065208911896, val_accuracy: 0.9941832423210144
Epoch 4 - loss: 0.005084753502160311, accuracy: 0.9990304112434387, val_loss: 0.04215167090296745, val_accuracy: 0.9946679472923279
Epoch 5 - loss: 0.13321827352046967, accuracy: 0.950551450252533, val_loss: 0.03449298441410065, val_accuracy: 0.9946679472923279
Epoch 1 - loss: 0.2660779058933258, accuracy: 0.8933462500572205, val_loss: 0.046950191259384155, val_accuracy: 0.9859427809715271
Epoch 2 - loss: 0.013082264922559261, accuracy: 0.9976972341537476, val_loss: 0.03191645070910454, val_accuracy: 0.9946679472923279
Epoch 3 - loss: 0.006155411247164011, accuracy: 0.9991516470909119, val_loss: 0.029439272359013557, val_accuracy: 0.9946679472923279
Epoch 4 - loss: 0.003711523488163948, accuracy: 0.9993939995765686, val_loss: 0.03389204666018486, val_accuracy: 0.9946679472923279
Epoch 5 - loss: 0.0024380097165703773, accuracy: 0.9996364116668701, val_loss: 0.03116641752421856, val_accuracy: 0.9941832423210144
Best LSTM Model Accuracy: 0.9956374212312167
Best LSTM Hyperparameters: {'lstm_units': 128, 'dropout_rate': 0.30000000000000004, 'learning_rate': 0.001}
